"","Fecha","Mean","Estacion","ICA","Color"
"31201",1180933200,33.0833333333333,"Kennedy",6,"#00de28"
"31202",1181019600,34.5833333333333,"Kennedy",6,"#00de28"
"31203",1181106000,41.9166666666667,"Kennedy",5,"#00de28"
"31204",1181192400,32.0833333333333,"Kennedy",6,"#00de28"
"31205",1181278800,42.0833333333333,"Kennedy",5,"#00de28"
"31206",1181365200,24.7083333333333,"Kennedy",6,"#00de28"
"31207",1181451600,25.5833333333333,"Kennedy",6,"#00de28"
"31208",1181538000,25.9166666666667,"Kennedy",6,"#00de28"
"31209",1181624400,29.1739130434783,"Kennedy",6,"#00de28"
"31210",1181710800,36.875,"Kennedy",5,"#00de28"
"31211",1181797200,29.9166666666667,"Kennedy",6,"#00de28"
"31212",1181883600,30.5416666666667,"Kennedy",6,"#00de28"
"31213",1181970000,27.6666666666667,"Kennedy",6,"#00de28"
"31214",1182056400,23.875,"Kennedy",6,"#00de28"
"31215",1182142800,21.0833333333333,"Kennedy",6,"#00de28"
"31216",1182229200,28.4166666666667,"Kennedy",6,"#00de28"
"31217",1182315600,24.4583333333333,"Kennedy",6,"#00de28"
"31218",1182402000,26.7916666666667,"Kennedy",6,"#00de28"
"31219",1182488400,32.3333333333333,"Kennedy",6,"#00de28"
"31220",1182574800,29.6666666666667,"Kennedy",6,"#00de28"
"31221",1182661200,26.5416666666667,"Kennedy",6,"#00de28"
"31222",1182747600,22.8695652173913,"Kennedy",6,"#00de28"
"31223",1182834000,26.75,"Kennedy",6,"#00de28"
"31224",1182920400,25.875,"Kennedy",6,"#00de28"
"31225",1183006800,24.5833333333333,"Kennedy",6,"#00de28"
"31226",1183093200,25.2083333333333,"Kennedy",6,"#00de28"
"31227",1183179600,26.3333333333333,"Kennedy",6,"#00de28"
"31228",1183266000,18.5,"Kennedy",6,"#00de28"
"31229",1183352400,18.4166666666667,"Kennedy",6,"#00de28"
"31230",1183438800,22.5,"Kennedy",6,"#00de28"
"31231",1183525200,21.875,"Kennedy",6,"#00de28"
"31232",1183611600,23.625,"Kennedy",6,"#00de28"
"31233",1183698000,NA,"Kennedy",0,"#c8c8c8"
"31234",1183784400,NA,"Kennedy",0,"#c8c8c8"
"31235",1183870800,NA,"Kennedy",0,"#c8c8c8"
"31236",1183957200,29.625,"Kennedy",6,"#00de28"
"31237",1184043600,28.2083333333333,"Kennedy",6,"#00de28"
"31238",1184130000,23.9583333333333,"Kennedy",6,"#00de28"
"31239",1184216400,28.375,"Kennedy",6,"#00de28"
"31240",1184302800,25.5416666666667,"Kennedy",6,"#00de28"
"31241",1184389200,27.5416666666667,"Kennedy",6,"#00de28"
"31242",1184475600,26.9166666666667,"Kennedy",6,"#00de28"
"31243",1184562000,25.5416666666667,"Kennedy",6,"#00de28"
"31244",1184648400,28,"Kennedy",6,"#00de28"
"31245",1184734800,44.25,"Kennedy",5,"#00de28"
"31246",1184821200,48.4782608695652,"Kennedy",5,"#00de28"
"31247",1184907600,39.625,"Kennedy",5,"#00de28"
"31248",1184994000,36.1666666666667,"Kennedy",5,"#00de28"
"31249",1185080400,34.5833333333333,"Kennedy",6,"#00de28"
"31250",1185166800,36.5416666666667,"Kennedy",5,"#00de28"
"31251",1185253200,35.1666666666667,"Kennedy",6,"#00de28"
"31252",1185339600,40.0416666666667,"Kennedy",5,"#00de28"
"31253",1185426000,42.5833333333333,"Kennedy",5,"#00de28"
"31254",1185512400,27.0416666666667,"Kennedy",6,"#00de28"
"31255",1185598800,24.9583333333333,"Kennedy",6,"#00de28"
"31256",1185685200,19.625,"Kennedy",6,"#00de28"
"31257",1185771600,31.0416666666667,"Kennedy",6,"#00de28"
"31258",1185858000,31.7083333333333,"Kennedy",6,"#00de28"
"31259",1185944400,32.8333333333333,"Kennedy",6,"#00de28"
"31260",1186030800,26.5416666666667,"Kennedy",6,"#00de28"
"31261",1186117200,23.1666666666667,"Kennedy",6,"#00de28"
"31262",1186203600,21.125,"Kennedy",6,"#00de28"
"31263",1186290000,21.125,"Kennedy",6,"#00de28"
"31264",1186376400,37.3333333333333,"Kennedy",5,"#00de28"
"31265",1186462800,45.375,"Kennedy",5,"#00de28"
"31266",1186549200,44.4166666666667,"Kennedy",5,"#00de28"
"31267",1186635600,33.6666666666667,"Kennedy",6,"#00de28"
"31268",1186722000,37.25,"Kennedy",5,"#00de28"
"31269",1186808400,23.9583333333333,"Kennedy",6,"#00de28"
"31270",1186894800,22.5416666666667,"Kennedy",6,"#00de28"
"31271",1186981200,20.5,"Kennedy",6,"#00de28"
"31272",1187067600,30.6666666666667,"Kennedy",6,"#00de28"
"31273",1187154000,32.2916666666667,"Kennedy",6,"#00de28"
"31274",1187240400,35.75,"Kennedy",6,"#00de28"
"31275",1187326800,21.6666666666667,"Kennedy",6,"#00de28"
"31276",1187413200,26.375,"Kennedy",6,"#00de28"
"31277",1187499600,47.375,"Kennedy",5,"#00de28"
"31278",1187586000,23.6666666666667,"Kennedy",6,"#00de28"
"31279",1187672400,28.9583333333333,"Kennedy",6,"#00de28"
"31280",1187758800,34.0833333333333,"Kennedy",6,"#00de28"
"31281",1187845200,52.5416666666667,"Kennedy",5,"#00de28"
"31282",1187931600,51.125,"Kennedy",5,"#00de28"
"31283",1188018000,29.25,"Kennedy",6,"#00de28"
"31284",1188104400,33.375,"Kennedy",6,"#00de28"
"31285",1188190800,30.3333333333333,"Kennedy",6,"#00de28"
"31286",1188277200,42.7916666666667,"Kennedy",5,"#00de28"
"31287",1188363600,35.2916666666667,"Kennedy",6,"#00de28"
"31288",1188450000,34.3478260869565,"Kennedy",6,"#00de28"
"31289",1188536400,30.4347826086957,"Kennedy",6,"#00de28"
"31290",1188622800,NA,"Kennedy",0,"#c8c8c8"
"31291",1188709200,NA,"Kennedy",0,"#c8c8c8"
"31292",1188795600,28.0909090909091,"Kennedy",6,"#00de28"
"31293",1188882000,40.0416666666667,"Kennedy",5,"#00de28"
"31294",1188968400,33.2173913043478,"Kennedy",6,"#00de28"
"31295",1189054800,31.9565217391304,"Kennedy",6,"#00de28"
"31296",1189141200,27.2083333333333,"Kennedy",6,"#00de28"
"31297",1189227600,27.7083333333333,"Kennedy",6,"#00de28"
"31298",1189314000,20.9583333333333,"Kennedy",6,"#00de28"
"31299",1189400400,30.5833333333333,"Kennedy",6,"#00de28"
"31300",1189486800,30.7083333333333,"Kennedy",6,"#00de28"
"31301",1189573200,34.5833333333333,"Kennedy",6,"#00de28"
"31302",1189659600,30.2173913043478,"Kennedy",6,"#00de28"
"31303",1189746000,30.75,"Kennedy",6,"#00de28"
"31304",1189832400,27.5833333333333,"Kennedy",6,"#00de28"
"31305",1189918800,33.75,"Kennedy",6,"#00de28"
"31306",1190005200,37.625,"Kennedy",5,"#00de28"
"31307",1190091600,42,"Kennedy",5,"#00de28"
"31308",1190178000,38.1666666666667,"Kennedy",5,"#00de28"
"31309",1190264400,36.9583333333333,"Kennedy",5,"#00de28"
"31310",1190350800,32.75,"Kennedy",6,"#00de28"
"31311",1190437200,41.875,"Kennedy",5,"#00de28"
"31312",1190523600,35.7083333333333,"Kennedy",6,"#00de28"
"31313",1190610000,37.4285714285714,"Kennedy",5,"#00de28"
"31314",1190696400,31.3333333333333,"Kennedy",6,"#00de28"
"31315",1190782800,31.7826086956522,"Kennedy",6,"#00de28"
"31316",1190869200,30.75,"Kennedy",6,"#00de28"
"31317",1190955600,32,"Kennedy",6,"#00de28"
"31318",1191042000,30.5833333333333,"Kennedy",6,"#00de28"
"31319",1191128400,29.9583333333333,"Kennedy",6,"#00de28"
"31320",1191214800,32.7916666666667,"Kennedy",6,"#00de28"
"31321",1191301200,41.7083333333333,"Kennedy",5,"#00de28"
"31322",1191387600,36.3181818181818,"Kennedy",5,"#00de28"
"31323",1191474000,37.8260869565217,"Kennedy",5,"#00de28"
"31324",1191560400,45.625,"Kennedy",5,"#00de28"
"31325",1191646800,34.2916666666667,"Kennedy",6,"#00de28"
"31326",1191733200,39.2916666666667,"Kennedy",5,"#00de28"
"31327",1191819600,34.2916666666667,"Kennedy",6,"#00de28"
"31328",1191906000,33.25,"Kennedy",6,"#00de28"
"31329",1191992400,57.875,"Kennedy",4,"#fffd40"
"31330",1192078800,62.7916666666667,"Kennedy",4,"#fffd40"
"31331",1192165200,40.3846153846154,"Kennedy",5,"#00de28"
"31332",1192251600,NA,"Kennedy",0,"#c8c8c8"
"31333",1192338000,NA,"Kennedy",0,"#c8c8c8"
"31334",1192424400,NA,"Kennedy",0,"#c8c8c8"
"31335",1192510800,29.25,"Kennedy",6,"#00de28"
"31336",1192597200,40.3333333333333,"Kennedy",5,"#00de28"
"31337",1192683600,29.5,"Kennedy",6,"#00de28"
"31338",1192770000,37.7619047619048,"Kennedy",5,"#00de28"
"31339",1192856400,31.4545454545455,"Kennedy",6,"#00de28"
"31340",1192942800,37.625,"Kennedy",5,"#00de28"
"31341",1193029200,31.2916666666667,"Kennedy",6,"#00de28"
"31342",1193115600,39.1666666666667,"Kennedy",5,"#00de28"
"31343",1193202000,52.45,"Kennedy",5,"#00de28"
"31344",1193288400,45.625,"Kennedy",5,"#00de28"
"31345",1193374800,37.375,"Kennedy",5,"#00de28"
"31346",1193461200,31.0833333333333,"Kennedy",6,"#00de28"
"31347",1193547600,37.8333333333333,"Kennedy",5,"#00de28"
"31348",1193634000,32.875,"Kennedy",6,"#00de28"
"31349",1193720400,38.3333333333333,"Kennedy",5,"#00de28"
"31350",1193806800,48.0833333333333,"Kennedy",5,"#00de28"
"31351",1193893200,43,"Kennedy",5,"#00de28"
"31352",1193979600,42.8333333333333,"Kennedy",5,"#00de28"
"31353",1194066000,60.25,"Kennedy",4,"#fffd40"
"31354",1194152400,25.875,"Kennedy",6,"#00de28"
"31355",1194238800,37.0416666666667,"Kennedy",5,"#00de28"
"31356",1194325200,38.9583333333333,"Kennedy",5,"#00de28"
"31357",1194411600,48.625,"Kennedy",5,"#00de28"
"31358",1194498000,29.5,"Kennedy",6,"#00de28"
"31359",1194584400,36.2916666666667,"Kennedy",5,"#00de28"
"31360",1194670800,56.3333333333333,"Kennedy",4,"#fffd40"
"31361",1194757200,49.0833333333333,"Kennedy",5,"#00de28"
"31362",1194843600,36.4166666666667,"Kennedy",5,"#00de28"
"31363",1194930000,50.3333333333333,"Kennedy",5,"#00de28"
"31364",1195016400,39.7083333333333,"Kennedy",5,"#00de28"
"31365",1195102800,46.5,"Kennedy",5,"#00de28"
"31366",1195189200,46.25,"Kennedy",5,"#00de28"
"31367",1195275600,33.4583333333333,"Kennedy",6,"#00de28"
"31368",1195362000,27.4736842105263,"Kennedy",6,"#00de28"
"31369",1195448400,NA,"Kennedy",0,"#c8c8c8"
"31370",1195534800,20.1111111111111,"Kennedy",6,"#00de28"
"31371",1195621200,24.9565217391304,"Kennedy",6,"#00de28"
"31372",1195707600,22.5833333333333,"Kennedy",6,"#00de28"
"31373",1195794000,16.3529411764706,"Kennedy",6,"#00de28"
"31374",1195880400,16.4166666666667,"Kennedy",6,"#00de28"
"31375",1195966800,12.4705882352941,"Kennedy",6,"#00de28"
"31376",1196053200,15.1176470588235,"Kennedy",6,"#00de28"
"31377",1196139600,17.8333333333333,"Kennedy",6,"#00de28"
"31378",1196226000,22.375,"Kennedy",6,"#00de28"
"31379",1196312400,21.8333333333333,"Kennedy",6,"#00de28"
"31380",1196398800,10.1538461538462,"Kennedy",7,"#00de28"
"31381",1196485200,NA,"Kennedy",0,"#c8c8c8"
"31382",1196571600,NA,"Kennedy",0,"#c8c8c8"
"31383",1196658000,NA,"Kennedy",0,"#c8c8c8"
"31384",1196744400,NA,"Kennedy",0,"#c8c8c8"
"31385",1196830800,7.90476190476191,"Kennedy",7,"#00de28"
"31386",1196917200,15.4583333333333,"Kennedy",6,"#00de28"
"31387",1197003600,20.75,"Kennedy",6,"#00de28"
"31388",1197090000,16.875,"Kennedy",6,"#00de28"
"31389",1197176400,13.4166666666667,"Kennedy",6,"#00de28"
"31390",1197262800,14.65,"Kennedy",6,"#00de28"
"31391",1197349200,21.5416666666667,"Kennedy",6,"#00de28"
"31392",1197435600,16.75,"Kennedy",6,"#00de28"
"31393",1197522000,22.304347826087,"Kennedy",6,"#00de28"
"31394",1197608400,24.0416666666667,"Kennedy",6,"#00de28"
"31395",1197694800,23.4583333333333,"Kennedy",6,"#00de28"
"31396",1197781200,9.54166666666667,"Kennedy",7,"#00de28"
"31397",1197867600,14.8333333333333,"Kennedy",6,"#00de28"
"31398",1197954000,16.9583333333333,"Kennedy",6,"#00de28"
"31399",1198040400,18.5833333333333,"Kennedy",6,"#00de28"
"31400",1198126800,23,"Kennedy",6,"#00de28"
"31401",1198213200,21.25,"Kennedy",6,"#00de28"
