Fecha & Hora;PM10;NO2  (ug/m3);Vel Viento  (m/s);Dir Viento (Grados);Temperatura (C°);Humedad (%);Radiacion Solar (Watt/M2);Lluvia (mm);;
1/01/2013 7:00;41,6;42,97;0,1;137,5;25,3;66,7;0;0;;
1/01/2013 8:00;42,6;35,01;0,4;18,6;24,5;70,4;0;0;;
1/01/2013 9:00;23,1;27,11;0,4;45;23,8;73,5;0;0;;
1/01/2013 10:00;33,4;25,43;0,4;55,9;23,3;76,1;0;0;;
1/01/2013 11:00;29,3;23,68;0,1;313,6;22,9;77,7;0;0;;
1/01/2013 12:00;33,1;24,88;0,2;291,3;22,3;80;0;0;;
1/01/2013 13:00;24,1;22,47;0;258,3;22,3;80,2;0;0;;
1/01/2013 14:00;28,8;21,23;0,1;30,9;22,4;79,6;0;0;;
1/01/2013 15:00;35,5;24,87;0,3;358,6;22,6;79,1;8,8;0;;
1/01/2013 16:00;35,2;26,79;0;138,4;23,4;76,2;38,1;0;;
1/01/2013 17:00;19,6;22,51;0,2;237,3;24,8;69,7;205,1;0;;
1/01/2013 18:00;10,5;12,85;0,3;214,4;26,4;61,6;448,5;0;;
1/01/2013 19:00;6,7;7,10;1,3;129,3;28,3;54,8;733,2;0;;
1/01/2013 20:00;6;5,96;1,1;88,4;29,4;51,7;625,4;0;;
1/01/2013 21:00;3,4;5,84;0,7;319,4;29,8;50,3;440,7;0;;
1/01/2013 22:00;20,3;5,38;1,4;18,7;29,9;49,5;394,7;0;;
1/01/2013 23:00;12,1;1,27;2;273,8;31,1;44,2;624,2;0;;
2/01/2013 0:00;7,5;2,12;2;277,1;31,4;42,5;410,1;0;;
2/01/2013 1:00;5;3,03;3,2;261,2;30;46,1;162,7;0;;
2/01/2013 2:00;9,9;5,25;2;269,6;29,2;47,8;34,7;0;;
2/01/2013 3:00;6;10,12;0,1;349;28,4;50,2;0,2;0;;
2/01/2013 4:00;4,1;13,15;0,4;91,5;28,2;51,4;0,1;0;;
2/01/2013 5:00;3,8;30,45;0,4;126,7;27,7;53,5;0;0;;
1/01/2013 2:00;5;28,54;1;143,1;26,4;59,3;0;0;;
1/01/2013 3:00;3,3;23,28;0,3;32,7;24,8;66,7;0;0;;
1/01/2013 4:00;11,6;23,01;0,1;336,5;24,2;68,4;0;0;;
1/01/2013 5:00;14,7;21,19;0,2;305,2;23,4;71,4;0;0;;
1/01/2013 6:00;9,1;19,53;0,2;27,8;23,2;73,8;0;0;;
1/01/2013 7:00;5,2;19,81;0,4;152,7;22,9;75,5;0;0;;
1/01/2013 8:00;9,1;17,03;0,1;321,1;22,1;78,6;0;0;;
1/01/2013 9:00;8,5;15,24;0,1;284,2;21,5;81,3;0;0;;
1/01/2013 10:00;16,5;14,88;0,1;279,6;21,7;80,6;0;0;;
1/01/2013 11:00;32,5;17,91;0,5;49,3;21,6;80,2;17,5;0;;
1/01/2013 12:00;17,5;16,54;0,8;54,4;22,1;78,8;175,7;0;;
1/01/2013 13:00;21,1;28,62;0,3;79,8;24,3;69,6;309,3;0;;
1/01/2013 14:00;25,7;31,68;0,5;121,1;25,9;63,5;385,3;0;;
1/01/2013 15:00;14,1;19,13;1;55;26,9;60,1;485,5;0;;
1/01/2013 16:00;13,4;10,82;0,8;49,2;28;55,5;578,2;0;;
1/01/2013 17:00;11,1;8,61;1,1;66,5;28,9;52,8;646,2;0;;
1/01/2013 18:00;20,4;9,02;0,9;42,4;30,1;49,5;667,8;0;;
1/01/2013 19:00;11;8,60;1,3;89,7;30,9;47,1;594,6;0;;
1/01/2013 20:00;10,3;6,30;1,1;328,8;31;45,3;272,4;0;;
1/01/2013 21:00;7,3;5,05;1,8;291,8;31;44,8;250;0;;
1/01/2013 22:00;8,9;10,36;0,7;318,9;29,4;48,7;33,9;0;;
1/01/2013 23:00;16,8;15,98;0,1;78;28,3;51,1;1,1;0;;
2/01/2013 0:00;17,3;38,70;0,2;198,9;27,6;53,1;0;0;;
2/01/2013 1:00;10,1;38,34;0,5;226,5;26,1;58,2;0;0;;
2/01/2013 2:00;26,3;28,20;0,7;142,8;25,3;64;0;0;;
2/01/2013 3:00;18,4;26,19;0,1;241,8;24,5;67,6;0;0;;
2/01/2013 4:00;38;24,53;0,3;120,6;23,9;71,7;0;0;;
2/01/2013 5:00;23,8;20,76;0,1;44,3;22,9;75,5;0;0;;
1/01/2013 2:00;17,7;18,81;0;342;22,2;78;0;0;;
1/01/2013 3:00;15,4;16,96;0,3;268,6;21,8;80;0;0;;
1/01/2013 4:00;20,2;18,11;0,1;256,7;22,1;78,5;0;0;;
1/01/2013 5:00;23,6;16,21;0,5;32,6;20,8;84,7;0;0;;
1/01/2013 6:00;14;17,99;0,1;344,9;20,7;84,6;0;0;;
1/01/2013 7:00;8;21,11;0;297,1;20,8;83,5;20;0;;
1/01/2013 8:00;23,1;35,09;0,5;157,8;22,8;75,6;156,2;0;;
1/01/2013 9:00;35;52,23;0,5;83,6;24,6;68;351,6;0;;
1/01/2013 10:00;33,9;51,91;0,9;117,9;26,1;62;539,6;0;;
1/01/2013 11:00;18,2;29,97;1,1;127,4;27,7;56,4;690;0;;
1/01/2013 12:00;37,7;21,46;1,2;163,3;29,6;49,6;784;0;;
1/01/2013 13:00;21,4;22,48;1,1;81,5;31,2;44,8;804,6;0;;
1/01/2013 14:00;28,9;13,87;0,9;119,1;32,7;36,7;758,4;0;;
1/01/2013 15:00;14,5;8,90;1,1;76,6;33,7;29,4;644,6;0;;
1/01/2013 16:00;7,2;10,20;1,3;334,3;33,2;34,2;379,2;0;;
1/01/2013 17:00;7,4;18,14;1,9;283,8;32,4;39,3;253,1;0;;
1/01/2013 18:00;33,2;28,74;0,8;259;31;42,9;60,6;0;;
1/01/2013 19:00;18,8;30,23;0,3;66,5;29,3;47,1;0,9;0;;
1/01/2013 20:00;30,4;39,62;0,8;138,4;28,8;48,5;0;0;;
1/01/2013 21:00;27,8;50,14;0,2;202,2;27,6;52,9;0;0;;
1/01/2013 22:00;41,5;40,26;0,5;316,1;25,8;60,4;0;0;;
1/01/2013 23:00;67,9;35,55;0,8;167,1;24,9;66,6;0;0;;
2/01/2013 0:00;113,9;30,23;0,4;99;24,1;70,3;0;0;;
2/01/2013 1:00;86,8;27,36;0,1;316,5;23,1;73,8;0;0;;
2/01/2013 2:00;78,6;25,78;0,2;266,5;22,6;75,7;0;0;;
2/01/2013 3:00;77,5;24,36;0,7;237,8;22,3;77,3;0;0;;
2/01/2013 4:00;50,7;22,38;0,3;249,1;21,9;79,3;0;0;;
2/01/2013 5:00;27,6;19,23;0,3;271,3;21,3;81,2;0;0;;
1/01/2013 2:00;44,1;19,69;0,2;287;20,9;82,7;0;0;;
1/01/2013 3:00;46,2;27,24;0,6;11,5;20,4;84,1;15,9;0;;
1/01/2013 4:00;80,4;39,04;0,5;48,2;22;77,4;158,1;0;;
1/01/2013 5:00;61,7;76,33;0,7;132;24,9;64,9;352,6;0;;
1/01/2013 6:00;59,1;44,66;1,4;67,5;26,3;61,2;519,6;0;;
1/01/2013 7:00;30,5;15,26;1;111,4;27,7;56,3;682,7;0;;
1/01/2013 8:00;24,7;19,01;0,9;113,3;29,3;51,3;774,3;0;;
1/01/2013 9:00;19,2;17,04;1;58,9;30,3;47,7;424,1;0;;
1/01/2013 10:00;21,5;10,83;0,8;76,3;31,3;42,4;586,8;0;;
1/01/2013 11:00;11,3;8,85;1;12;31,3;42,3;336,4;0;;
1/01/2013 12:00;6,2;9,34;3,2;259,3;31,7;42,4;447;0;;
1/01/2013 13:00;4,8;14,94;3;262,8;30,9;43,7;240,3;0;;
1/01/2013 14:00;5,1;17,91;2,5;268,1;29,5;46,6;33,2;0;;
1/01/2013 15:00;4,7;25,16;0,4;292,5;29;47;0,8;0;;
1/01/2013 16:00;14,6;24,41;0,5;107,9;28,7;48,6;0;0;;
1/01/2013 17:00;14,9;45,54;0,6;82,7;28,2;51,1;0;0;;
1/01/2013 18:00;28,6;39,22;1,4;106,2;27,5;55,5;0;0;;
1/01/2013 19:00;62,1;28,48;0,6;116,2;26;62,1;0;0;;
1/01/2013 20:00;50,7;24,79;0,6;91,1;25,5;64,8;0;0;;
1/01/2013 21:00;43;25,65;0,3;335,5;25;67,2;0;0;;
1/01/2013 22:00;31,6;26,87;0,3;94,1;24,9;67,9;0;0;;
1/01/2013 23:00;16,3;20,40;0,3;63,4;24,2;71,8;0;0;;
2/01/2013 0:00;36,3;18,75;0,4;50,2;23,7;74,2;0;0;;
2/01/2013 1:00;19,6;18,95;0,6;175,9;23,8;73,6;0;0;;
2/01/2013 2:00;24,3;20,54;0,2;272,6;23,8;73,5;0;0;;
2/01/2013 3:00;29,7;25,46;0,4;4,6;23,8;73,9;5,2;0;;
2/01/2013 4:00;59,9;31,03;0,6;9,6;24;73,2;49,9;0;;
2/01/2013 5:00;54,2;34,48;0,6;16,9;24,8;70,1;218,6;0;;
1/01/2013 2:00;73,5;43,80;0,8;65,4;26,9;62,1;435,7;0;;
1/01/2013 3:00;51,9;19,59;1,2;71,7;28;56,6;601,3;0;;
1/01/2013 4:00;50,9;15,98;1,3;71,6;29,1;53,5;571,8;0;;
1/01/2013 5:00;28,4;15,62;0,9;74,7;30,3;50,1;530;0;;
1/01/2013 6:00;94,9;13,76;0,9;45,2;30,6;50;426,9;0;;
1/01/2013 7:00;68,4;11,65;1;63,5;30,8;49,5;314,8;0;;
1/01/2013 8:00;41,6;13,65;0,4;42;30,8;49,9;160,5;0;;
1/01/2013 9:00;37,2;15,81;2,7;257,5;30,2;50,4;119;0;;
1/01/2013 10:00;26,2;28,23;2,1;253,6;29,6;51,2;36,8;0;;
1/01/2013 11:00;14;27,74;1,5;248,7;28,7;53,7;0,6;0;;
1/01/2013 12:00;8,6;22,22;1,4;254,6;28,2;55,4;0,1;0;;
1/01/2013 13:00;6,2;49,62;1;95,2;27,8;58,3;0;0;;
1/01/2013 14:00;28,3;38,40;0,7;121,6;27,3;60,1;0;0;;
1/01/2013 15:00;27,3;39,68;0,3;137,4;27,1;61,7;0;0;;
1/01/2013 16:00;42,4;40,18;0,4;101,7;26,7;63,7;0;0;;
1/01/2013 17:00;31,5;27,19;0,6;165,8;25,6;68,2;0;0;;
1/01/2013 18:00;21,2;26,22;0,7;155,3;25,2;69,6;0;0;;
1/01/2013 19:00;12,8;18,87;0,6;152,2;24,7;71,1;0;0;;
1/01/2013 20:00;7,8;16,55;0,9;155;24,5;73,2;0;0;;
1/01/2013 21:00;10,2;17,44;0,6;174,3;24,3;74,3;0;0;;
1/01/2013 22:00;18,5;20,51;0,4;5,1;23,4;78,2;0;0;;
1/01/2013 23:00;20,3;25,69;0,5;13,1;23;79,6;8,9;0;;
2/01/2013 0:00;43,2;29,41;0,3;15,8;23,8;76,8;96;0;;
2/01/2013 1:00;40,6;39,95;1;133,9;24,9;71,9;162,3;0;;
2/01/2013 2:00;41,6;25,03;0,8;129,6;27,2;62,3;526;0;;
2/01/2013 3:00;24,3;17,23;1,3;108,5;28,3;58,2;627,5;0;;
2/01/2013 4:00;28,8;13,25;1;100,4;29,6;53;704;0;;
2/01/2013 5:00;15,9;11,11;1,2;52,6;31;47,1;765,6;0;;
1/01/2013 2:00;24;10,64;1,5;68,6;31,9;43,7;585,9;0;;
1/01/2013 3:00;14,1;9,17;1,4;69,6;32,3;42,8;484,2;0;;
1/01/2013 4:00;18;19,15;1,2;352,2;31,2;47,3;110,4;0;;
1/01/2013 5:00;27,7;18,83;2,2;261,4;31;48,6;206,5;0;;
1/01/2013 6:00;25,5;25,92;1,7;255,3;29,9;51,1;30,7;0;;
1/01/2013 7:00;14,1;31,24;1;244,4;28,6;52,7;1,1;0;;
1/01/2013 8:00;32,5;53,04;0,4;252,1;28;54,9;0;0;;
1/01/2013 9:00;43,5;51,95;0,8;87,4;27;59,7;0;0;;
1/01/2013 10:00;50,8;44,59;0,6;178,1;26,3;62,5;0;0;;
1/01/2013 11:00;38,8;42,68;0,3;136;25,9;64,5;0;0;;
1/01/2013 12:00;59,8;36,19;0,4;37,4;25,2;67,9;0;0;;
1/01/2013 13:00;31,8;31,59;0,7;153,7;25;69,1;0,4;0;;
1/01/2013 14:00;36;21,88;1,2;139,3;24,4;71,8;0;0;;
1/01/2013 15:00;21,7;21,91;0,4;153,4;24,1;73,4;0;0;;
1/01/2013 16:00;27,1;24,34;0,6;238,5;23,9;74,6;0;0;;
1/01/2013 17:00;15,3;22,74;0,4;255,1;23,8;74,2;0;0;;
1/01/2013 18:00;47,4;22,36;0,2;334;24;73,2;0;0;;
1/01/2013 19:00;25,9;24,53;0,3;118,2;23,7;74,9;4,2;0;;
1/01/2013 20:00;36,5;25,54;0,1;75,5;23,9;74,4;6,3;0;;
1/01/2013 21:00;38,2;31,55;0,5;85,1;24;73;48,9;0;;
1/01/2013 22:00;69;38,16;0,8;6,3;24,3;71,6;80,9;0;;
1/01/2013 23:00;82,9;46,98;0,8;29,8;24,7;71,5;58,5;0;;
2/01/2013 0:00;71,4;41,15;1,3;37,8;24,6;71,9;122,5;0;;
2/01/2013 1:00;60;32,62;0,6;62,8;25;69,1;117,1;0;;
2/01/2013 2:00;47,1;43,30;0,1;177,2;25,4;66,9;96,5;0;;
2/01/2013 3:00;24,8;39,58;1,2;182,5;25,8;63,8;134,8;0;;
2/01/2013 4:00;13,8;21,49;0,6;156,7;26,1;61,4;112,4;0;;
2/01/2013 5:00;9,5;26,54;0,4;98,2;25,9;62;59,4;0;;
1/01/2013 2:00;30,6;36,08;0,6;317,7;25,4;66,1;16,9;0;;
1/01/2013 3:00;34,7;54,47;0,6;66,7;25,1;68,4;0,3;0;;
1/01/2013 4:00;53,6;36,72;0,5;38,4;24,5;72,3;0;0;;
1/01/2013 5:00;28,8;51,17;0,5;231,1;24,2;73,3;0;0;;
1/01/2013 6:00;50,2;53,80;0,8;208,6;24;73;0;0;;
1/01/2013 7:00;26,1;39,97;1,1;242,5;23,9;71,6;0;0;;
1/01/2013 8:00;36,2;33,58;0,6;344,7;23,5;74,3;0;0;;
1/01/2013 9:00;24,5;38,60;0,2;2,9;23,2;76,6;0;0;;
1/01/2013 10:00;51,6;32,41;0,6;35,5;22,6;81,1;0;0;;
1/01/2013 11:00;34,8;27,68;0,3;12,5;22,1;83,2;0;0;;
1/01/2013 12:00;48,5;28,67;0,4;249,1;22,3;82,2;0;0;;
1/01/2013 13:00;41,2;29,83;0,4;43,8;22,4;82;0;0;;
1/01/2013 14:00;65,1;31,19;0,4;189,9;22;82,7;0;0;;
1/01/2013 15:00;42,5;26,93;0,2;272,2;21,9;82,1;11;0;;
1/01/2013 16:00;42,5;34,01;0,2;322,3;22,8;78,5;90,9;0;;
1/01/2013 17:00;28,1;44,29;0,4;130;24,2;74,2;240,1;0;;
1/01/2013 18:00;52,5;27,40;2,2;34,6;24,6;74,1;205,2;0;;
1/01/2013 19:00;27,3;25,02;1,4;118,8;26,5;60,7;551,3;0;;
1/01/2013 20:00;15,5;12,32;0,7;79,6;28,4;52,2;583,5;0;;
1/01/2013 21:00;9,3;8,30;0,4;245,7;29,7;48,6;721,1;0;;
1/01/2013 22:00;6,3;4,98;0,7;115,3;31,1;43,5;758,1;0;;
1/01/2013 23:00;5,5;6,07;1,6;294,4;30,7;44,9;221,1;0;;
2/01/2013 0:00;4,9;3,10;4,3;275,1;30,1;45,3;426,7;0;;
2/01/2013 1:00;4,1;5,36;3;275,5;30,1;44,6;267,5;0;;
2/01/2013 2:00;15,1;6,00;2,1;296,6;28,6;49,1;71,6;0;;
2/01/2013 3:00;12,7;12,11;0,4;137,5;27,3;53,5;1,2;0;;
2/01/2013 4:00;13,7;22,26;0,7;77,2;26,7;55,9;0;0;;
2/01/2013 5:00;17,6;20,06;1,2;186;26,7;54,6;0;0;;
1/01/2013 2:00;10,2;22,33;1,2;165,5;26,4;56,6;0;0;;
1/01/2013 3:00;6,2;22,33;1,5;167,4;25,6;63,6;0;0;;
1/01/2013 4:00;7,1;19,55;1,1;106,7;25,3;66,8;0;0;;
1/01/2013 5:00;5,8;19,69;0,3;0;24,3;71,8;0;0;;
1/01/2013 6:00;11;15,38;0,2;322,2;24,1;72,7;0;0;;
1/01/2013 7:00;7,4;17,88;0,7;90,5;23,9;74,9;0;0;;
1/01/2013 8:00;10,6;11,88;0,9;49,6;24;71,1;0;0;;
1/01/2013 9:00;7,9;13,94;0,5;346,2;23,5;74,2;0;0;;
1/01/2013 10:00;21,1;23,12;0,8;48,4;23,2;74,4;0;0;;
1/01/2013 11:00;12,1;29,79;0,3;62,2;22,5;80,1;6,1;0;;
1/01/2013 12:00;7;35,56;1,1;164,3;23;79,5;79,2;0;;
1/01/2013 13:00;8,5;40,27;1,6;163,3;23,9;77,2;192,6;0;;
1/01/2013 14:00;12,4;19,03;2,4;143,8;24,6;74,5;268,3;0;;
1/01/2013 15:00;7,9;13,24;1,7;156,3;25,1;70,8;307;0;;
1/01/2013 16:00;5;10,10;2,9;242,5;24,7;68;341,3;0;;
1/01/2013 17:00;2,5;14,42;2,6;187,6;27,3;59,6;838,2;0;;
1/01/2013 18:00;1,3;12,40;1,3;149,7;28,4;53,7;601,6;0;;
1/01/2013 19:00;1,7;14,93;1,1;31,9;29,1;51,5;356,2;0;;
1/01/2013 20:00;58,2;18,78;0,9;291,3;29;52,3;223,3;0;;
1/01/2013 21:00;45,8;19,31;1,3;109,9;28,6;56,9;68,1;0;;
1/01/2013 22:00;49,3;33,66;1,6;239,4;27,7;61,4;61,3;0;;
1/01/2013 23:00;26,1;36,80;1,1;261,4;26,7;61,1;1;0;;
2/01/2013 0:00;28;48,52;0,1;52,5;26,3;60;0;0;;
2/01/2013 1:00;33,8;53,91;0,6;75,7;26,1;62;0;0;;
2/01/2013 2:00;43,8;43,99;1;158,7;25,6;63,4;0;0;;
