Fecha & Hora;ALMACAFE;MOSQUERA VILLA;MOSQUERA SENA;TIBITOC;NEMOCON;ZIPAQUIRA;COGUA;MADRID;RAQUIRA;CAJICA;SOPO;SIBATE;MOCHUELO
3/11/2010 00:00;46.51;61.85;49.87;41.74;49.88;52.18;73.16;58.3;49;19.33;63.22;51.23;53.08
6/11/2010 00:00;59.03;60.49;54.73;57.39;53.16;48.34;47.29;55.02;79.13;20.61;53.7;53.16;55.35
9/11/2010 00:00;54.17;56.83;60.49;32.51;55.23;46.76;51.75;49;53.47;18.48;57.42;47.09;59.32
13/11/2010 00:00;48.87;53.07;52.3;26.4;47.31;60.21;48.9;52.13;45.62;24.63;60.33;47.31;50.74
15/11/2010 00:00;52.6;72.48;53.47;35.78;50.78;52.7;57;47.68;58.3;21.52;52.86;50.78;51.38
17/11/2010 00:00;58.35;62.3;46.85;34.82;51;47.56;49.94;52.34;84.39;17.25;43.5;50.88;51
20/11/2010 00:00;60.14;47.22;60.16;40.97;52.14;52.11;52;50.35;33.52;19.78;48.76;52.14;53.26
22/11/2010 00:00;53.9;50.63;55.18;38.15;48.62;53.08;50.77;55.6;43.6;23.48;51.39;48.62;47.65
24/11/2010 00:00;51.62;64.28;;24.93;51.21;49.86;51.61;54.06;50.25;26.16;40.65;45.73;53.6
27/11/2010 00:00;50.33;32.57;48.44;42.47;46.7;53.27;62.43;43.25;48.71;16.4;54.27;46.7;51.73
30/11/2010 00:00;38.66;33.6;49.72;63.78;50.33;55.29;46.82;43.28;59.38;22.59;46;44.7;52.07
1/12/2010 00:00;54.07;58.23;52.3;57.92;54;57.68;48.2;37.24;48;25.18;50.46;56.14;61.18
4/12/2010 00:00;56.82;47.69;48.64;62.73;48.79;45.83;59.73;80.73;54.26;22.24;61.3;49.06;50.79
6/12/2010 00:00;;54.38;52.68;56.08;53.23;46.37;51.96;42.8;51.67;25.58;55.38;52.71;58.05
9/12/2010 00:00;46.87;57.6;49.75;63.47;57.42;56.7;55.65;38.63;79.68;26.03;47.67;61.33;57.34
11/12/2010 00:00;52.4;61.44;62.16;55.82;50.66;48.67;61.7;46.2;27.56;19.85;52.83;50.87;60.46
13/12/2010 00:00;57.09;45.31;54.32;53.72;48.85;55.73;53.24;77.89;61.52;21.46;47.89;49.26;61.77
14/12/2010 00:00;50.63;52.4;51.87;60.96;51.17;49.06;60.87;47.31;84.17;26.33;52.67;52.01;52
20/12/2010 00:00;48.66;62.33;49.94;51.98;53.7;51.74;49.63;53.08;32.5;23.4;48.3;48.39;56.72
22/12/2010 00:00;52.01;48.16;50.65;53.83;63.47;58.46;63.56;68.25;55.18;21.56;51.66;52.25;60.84
24/12/2010 00:00;46.28;51.73;51.63;50.67;58.94;54.71;58.79;47;62.74;19.68;47.73;50.3;53.6
27/12/2010 00:00;48.32;53.11;56.07;57.42;54.09;61.32;61.23;44.33;60.35;24.56;56.24;54.09;55.97
30/12/2010 00:00;57.26;55.08;;48.66;63.1;58.74;64.98;40.52;50.71;27.04;50.92;55.16;64.36
;;;;;;;;;;;;;
;;;;;;;;;;;;;
